,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
209330,9318636,Dei små Motjønnane,Dei sma Motjonnane,"Dei sma Motjonnane,Dei små Motjønnane",58.97224,8.537989999999999,H,PND,NO,,38.0,3822.0,,,0,,228,Europe/Oslo,2019-12-12
216882,9326262,Dei lange tjørnin,Dei lange tjornin,"Dei lange tjornin,Dei lange tjørnin",59.235009999999996,7.22187,H,PND,NO,,42.0,4221.0,,,0,,1246,Europe/Oslo,2019-12-12
217833,9327217,Dei grunne tjørnin,Dei grunne tjornin,"Dei grunne tjornin,Dei grunne tjørnin",59.08735,7.293360000000001,H,PND,NO,,42.0,4221.0,,,0,,1124,Europe/Oslo,2019-12-12
218769,9328162,Dei lange tjørnin,Dei lange tjornin,"Dei lange tjornin,Dei lange tjørnin",59.22065,7.436389999999999,H,PND,NO,,42.0,4221.0,,,0,,1201,Europe/Oslo,2019-12-12
219272,9328668,Dei djupe tjørnin,Dei djupe tjornin,"Dei djupe tjornin,Dei djupe tjørnin",59.163340000000005,7.39578,H,PND,NO,,42.0,4221.0,,,0,,1157,Europe/Oslo,2019-12-12
220155,9329553,Dei fire tjønnane,Dei fire tjonnane,"Dei fire tjonnane,Dei fire tjønnane",59.75897,7.43078,H,PND,NO,,38.0,3825.0,,,0,,832,Europe/Oslo,2019-12-12
224187,9333585,Dei grunne tjønnane,Dei grunne tjonnane,"Dei grunne tjonnane,Dei grunne tjønnane",59.00921999999999,8.37309,H,PND,NO,,38.0,3823.0,,,0,,659,Europe/Oslo,2019-12-12
229972,9339493,Dei lange tjønnane,Dei lange tjonnane,"Dei lange tjonnane,Dei lange tjønnane",59.284169999999996,8.62455,H,PND,NO,,38.0,3815.0,,,0,,728,Europe/Oslo,2019-12-12
231166,9340745,Dei lange tjørnane,Dei lange tjornane,"Dei lange tjornane,Dei lange tjørnane",59.66406,7.253839999999999,H,PND,NO,,38.0,3825.0,,,0,,1032,Europe/Oslo,2019-12-12
231282,9340869,Dei fem tjørnane,Dei fem tjornane,"Dei fem tjornane,Dei fem tjørnane",59.52613,7.667210000000001,H,PND,NO,,38.0,3824.0,,,0,,1251,Europe/Oslo,2019-12-12
267038,9377428,Dei snaue haugan,Dei snaue haugan,Dei snaue haugan,59.24194,7.5441,T,HLL,NO,,42.0,4221.0,,,0,,460,Europe/Oslo,2019-12-12
281270,9392030,Dei vene berga,Dei vene berga,Dei vene berga,59.37096,9.08009,T,HLL,NO,,38.0,3816.0,,,0,,136,Europe/Oslo,2019-12-12
287686,9398454,Dei tverre bergi,Dei tverre bergi,Dei tverre bergi,59.42969,8.56189,T,HLL,NO,,38.0,3821.0,,,0,,503,Europe/Oslo,2019-12-12
288951,9399726,Dei trju små bergi,Dei trju sma bergi,"Dei trju sma bergi,Dei trju små bergi",59.238980000000005,7.382910000000001,T,HLL,NO,,42.0,4221.0,,,0,,867,Europe/Oslo,2019-12-12
288952,9399727,Dei trju store bergi,Dei trju store bergi,Dei trju store bergi,59.23953,7.37803,T,HLL,NO,,42.0,4221.0,,,0,,868,Europe/Oslo,2019-12-12
291117,9401895,Dei fine fjella,Dei fine fjella,Dei fine fjella,59.148740000000004,8.73025,T,HLL,NO,,38.0,3815.0,,,0,,396,Europe/Oslo,2019-12-12
397123,9554733,Dei hole slåttene,Dei hole slattene,"Dei hole slattene,Dei hole slåttene",58.773669999999996,8.60233,H,MRSH,NO,,42.0,4217.0,,,0,,320,Europe/Oslo,2019-12-12
397173,9554783,Dei sju slåttene,Dei sju slattene,"Dei sju slattene,Dei sju slåttene",58.91038,8.56436,H,MRSH,NO,,42.0,4217.0,,,0,,329,Europe/Oslo,2019-12-12
397538,9555148,Dei små steene,Dei sma steene,"Dei sma steene,Dei små steene",58.751090000000005,8.810319999999999,H,MRSH,NO,,42.0,4212.0,,,0,,258,Europe/Oslo,2019-12-12
397598,9555208,Dei lange kjerrene,Dei lange kjerrene,Dei lange kjerrene,58.78584,8.733139999999999,H,MRSH,NO,,42.0,4212.0,,,0,,266,Europe/Oslo,2019-12-12
