,_name,country,postcode,_type,lat,lng
334,Helsingfors,Sweden,92137,village,64.5538315,18.6988667
335,Helsingfors,Finland,00100,station,60.17125479999999,24.9414391
336,Helsingfors,Sweden,92137,bus_stop,64.55646709999999,18.6946074
337,Hornbæk,Denmark,3100,village,56.0879176,12.4587803
338,Hornbæk,Denmark,3100,station,56.089141000000005,12.459758099999998
339,Hørup,Germany,,city,54.74474870000001,9.1033911
340,Hørup,Denmark,7300,village,55.760856000000004,9.4675172
341,Hørup,Denmark,,village,54.913698100000005,9.8956435
342,Hørup,Denmark,,village,55.85285079999999,12.133689500000001
343,Hørup,Sweden,276 35,village,55.44371139999999,14.1213546
344,Hørup,Sweden,276 35,bus_stop,55.443135,14.120370499999998
345,Indien,India,,country,22.3511148,78.6677428
346,Indien,Myanmar,,village,15.3458196,97.7510033
347,Indien,United Arab Emirates,,islet,25.2311711,55.1797134
348,Indien,Switzerland,5408,restaurant,47.4787946,8.3137524
349,Indien,Denmark,,road,56.7231885,11.622757
350,Jerusalem,Israel,,city,31.778345,35.2250786
351,Jerusalem,RSA,,city,-25.1972222,31.113888899999996
352,Jerusalem,USA,20839,village,39.1592724,-77.4060975
353,Jerusalem,USA,21047\,village,39.4628854,-76.3891275
354,Jerusalem,USA,21773,village,39.524266600000004,-77.57998909999999
355,Jerusalem,USA,,village,35.2434119,-86.78444470000001
356,Jerusalem,USA,,village,34.7050897,-87.2269623
357,Jerusalem,USA,,village,34.44175739999999,-84.58215290000001
358,Jerusalem,USA,30055,village,33.5201187,-83.74128909999999
359,Jorden,USA,77077:77084,road,29.7862527,-95.6320679
360,Jorden,Denmark,8700,artwork,55.8501304,9.8490514
361,Jorden,Denmark,7620,information,56.5505275,8.298817
362,Jorden,Germany,48565,building,52.124588,7.394761900000001
363,Jorden,Sweden,532 72,water,58.39097339999999,13.5814426
364,Jorden,Estonia,,city,59.064719999999994,24.95028
365,Kanada,Canada,,country,61.0666922,-107.9917071
366,Kanada,Czechia,73961,stream,49.6751788,18.641367199999998
367,Kanada,Poland,,village,51.396507299999996,19.415438199999997
368,Kanada,Japan,825-0016,station,33.6831864,130.7759265
369,Kanada,Germany,07589,village,50.834587,11.957208900000001
370,Kanada,Poland,,village,52.403611100000006,18.9413889
371,Kanada,Poland,,village,51.7780556,17.1977778
372,Kanada,Poland,33-114,village,49.957182,20.949534
373,Kanada,Poland,34-108,village,49.92805560000001,19.431388899999998
374,Kanada,Poland,32-855,village,49.896111100000006,20.7827778
375,Karl Johan,Norway,2312,road,60.7408056,11.153842
376,Karl Johan,Norway,,road,57.9852882,7.5319303
377,Karl Johan,Norway,9296,road,69.64724659999999,18.9509507
378,Karl Johan,Norway,,neighbourhood,60.212807999999995,8.101911
379,Karl Johan,Norway,,county,69.93446,23.02222
380,Kentucky,USA,,state,37.5726028,-85.1551411
381,Kentucky,USA,61955,village,39.5933684,-87.6111352
382,Kentucky,USA,,village,46.2652316,-86.6309875
383,Kentucky,USA,,village,34.608425399999994,-92.66127490000001
384,Kentucky,Australia,,farm,-27.9734147,149.34931469999998
385,Kentucky,Australia,2354,neighbourhood,-30.7589126,151.45094369999998
386,Kentucky,Argentina,S2132,neighbourhood,-32.9433852,-60.8279882
387,Kentucky,Canada,,neighbourhood,49.1198625,-122.748272
388,Kentucky,USA,32046,road,30.692808000000003,-81.93706
389,Kentucky,USA,32839,road,28.5102239,-81.39688249999999
390,Kongsberg,Norway,,county,59.594550100000006,9.670860099999999
391,Kongsberg,Norway,3613,city,59.6693196,9.6515097
392,Kongsberg,USA,,village,47.851392700000005,-100.8012554
393,Kongsberg,Sweden,74010,village,59.875183299999996,18.048078
394,Kongsberg,Norway,,village,59.0465556,8.1100444
395,Kongsberg,Norway,,farm,59.27966850000001,10.858312199999999
396,Kongsberg,Norway,1860,farm,59.6614583,11.335666699999999
397,Kongsberg,Norway,1623,farm,59.2757556,10.8624222
398,Kongsberg,Norway,3617,road,59.6717428,9.638797
399,Kongsberg,United Kingdom,WF6 1TN,building,53.7050874,-1.3916128
400,Kristiansund,Norway,,county,63.2168194,7.545259
401,Kristiansund,Norway,6509,city,63.115064600000004,7.733289900000001
402,Kristiansund,Norway,6516,artwork,63.11253860000001,7.7483609
403,Kristiansund,Norway,6509,ferry_terminal,63.1114795,7.733655099999999
404,Kristiansund,Norway,6509,ferry_terminal,63.1147963,7.736805199999999
405,Kystby,Norway,5353,building,60.3586666,5.1277872
406,København,Denmark,1357,city,55.6867243,12.5700724
407,København,Denmark,2399,information,55.63116170000001,12.5748147
408,København,Sweden,,road,56.37891460000001,13.102668199999998
409,Larvik,Norway,,county,59.096730799999996,10.021930000000001
410,Larvik,Norway,3256,city,59.053173,10.027182
411,Larvik,Netherlands,4791DD,road,51.6651966,4.5411630999999995
412,Larvik,Germany,01069,clothes,51.0440684,13.736438399999999
413,Larvik,Norway,3256,station,59.050149100000006,10.0313875
414,Larvik,Norway,3256,railway,59.0499113,10.0315909
415,Larvik,Norway,3263,ferry_terminal,59.0416058,10.0447658
416,Levanger,Norway,,county,63.69645179999999,11.2238804
417,Levanger,Norway,7600,city,63.74620329999999,11.2998629
418,Levanger,Norway,7600,railway,63.7447218,11.300685699999999
419,Levanger,Netherlands,4141MV,road,51.8890013,5.099548
420,Levanger,Montenegro,85347,restaurant,42.4588391,18.515489300000002
421,Lillehammer,Norway,,county,61.13334079999999,10.4265855
422,Lillehammer,Norway,2609,city,61.114537899999995,10.4671034
423,Lillehammer,Norway,2615,railway,61.1142507,10.4612694
424,Lillehammer,Netherlands,4791DC,road,51.6650611,4.5400823
425,Lillehammer,USA,98117,building,47.680253,-122.3764304
426,Lillehammer,France,72460,building,48.079584499999996,0.29215820000000003
427,Lillehammer,Norway,2615,ferry_terminal,61.1027647,10.4432575
428,Lillesand,Norway,,county,58.116112300000005,8.440325699999999
429,Lillesand,Norway,4790,city,58.247994299999995,8.3775716
430,Lillesand,Sweden,45894,village,58.5911618,12.091352800000001
431,Lillesand,Norway,3855,village,59.007475,8.5874305
432,Lillesand,Norway,3296,village,58.9634389,9.853666699999998
433,Lillesand,Norway,1680,road,59.0242,11.0339414
434,Lillesand,Norway,4870,beach,58.376828700000004,8.695998300000001
435,Lofoten,Netherlands,3524EN,road,52.061457700000005,5.1311668
436,Lofoten,Netherlands,3524EP,road,52.06052929999999,5.130646499999999
437,Lofoten,Netherlands,3524EZ,road,52.0602539,5.1303943
438,Lofoten,Netherlands,3825ZD,road,52.18937639999999,5.4201888
439,Lofoten,Netherlands,2721JE,road,52.05348,4.5453639
440,Lofoten,Denmark,8200,road,56.1766728,10.1927024
441,Lofoten,Netherlands,2904VH,road,51.9314126,4.608492900000001
442,Lofoten,Netherlands,2904VM,road,51.9317185,4.6095999
443,Lofoten,Netherlands,8303NA,road,52.715055299999996,5.7349752
444,Lofoten,Norway,,county,68.47111,13.863610000000001
445,Marken,Italy,,state,43.345838799999996,13.1415872
446,Marken,Netherlands,1156,village,52.457874600000004,5.1068263
447,Marken,Norway,8150,village,66.907883,13.7102478
448,Marken,Finland,,village,63.4449249,22.8560693
449,Marken,France,67310,village,48.5919586,7.448869900000001
450,Marken,Netherlands,,neighbourhood,52.44161,5.120732599999999
451,Marken,Sweden,57013,village,57.41335229999999,14.9862231
452,Marken,Sweden,,village,60.3426437,15.6336073
453,Marken,Sweden,,village,57.395390299999995,14.5490168
454,Marken,RSA,,neighbourhood,-23.5888889,28.3852778
455,Mexico,Mexico,06060,city,19.4326009,-99.1333416
456,Mexico,Mexico,,country,22.5000485,-100.0000375
457,Mexico,Mexico,,state,19.4839446,-99.68997159999999
458,Mexico,USA,65265,city,39.1697626,-91.8829484
459,Mexico,USA,13114,city,43.459514,-76.228818
460,Mexico,USA,,city,44.56112,-70.545959
461,Mexico,Philippines,2015,city,15.064350899999999,120.72054399999999
462,Mexico,USA,26767,village,39.6036999,-78.7427956
